City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,biak,-0.9131,122.8766,25.5,81,98,0.84,ID,1674217242
148,severo-kurilsk,50.6789,156.125,-6.97,63,97,8.3,RU,1674217242
149,sioux lookout,50.1001,-91.917,-25.22,100,88,0.64,CA,1674217242
150,havre-saint-pierre,50.2334,-63.5986,-8.0,73,0,4.12,CA,1674217243
151,ruteng,-8.6136,120.4721,17.71,95,97,0.78,ID,1674217243
152,shalya,57.2471,58.7298,-11.24,86,69,2.11,RU,1674216964
153,dingle,10.9995,122.6711,24.04,93,76,4.45,PH,1674217243
154,clovis,36.8252,-119.7029,7.04,90,100,0.0,US,1674217243
155,kavieng,-2.5744,150.7967,27.87,72,100,0.6,PG,1674217244
156,sitka,57.0531,-135.33,6.94,81,100,5.14,US,1674217244
157,georgetown,5.4112,100.3354,27.96,86,20,2.06,MY,1674217210
158,big spring,32.2504,-101.4787,7.25,49,0,3.6,US,1674217244
159,hami,42.8,93.45,-7.2,42,8,2.28,CN,1674217244
160,caravelas,-17.7125,-39.2481,28.21,64,82,1.74,BR,1674217245
161,narsaq,60.9167,-46.05,-7.88,69,89,3.07,GL,1674217245
162,terenos,-20.4422,-54.8603,25.84,78,40,5.66,BR,1674217245
163,adre,13.4667,22.2,31.26,11,4,0.99,TD,1674217246
164,mnogovershinnyy,53.9353,139.9242,-29.59,96,100,1.79,RU,1674217246
165,yasenskaya,46.3592,38.269,6.68,64,100,8.11,RU,1674217246
166,kristiinankaupunki,62.2743,21.376,-0.5,89,65,3.99,FI,1674217246
167,umm lajj,25.0213,37.2685,25.04,49,1,5.1,SA,1674217247
168,dumabato,16.3167,121.7,20.6,99,100,0.72,PH,1674217247
169,nicolas bravo,18.45,-88.9167,21.6,99,56,0.95,MX,1674217248
170,orativ,49.1889,29.527,11.07,76,97,5.94,UA,1674217248
171,manado,1.487,124.8455,25.43,94,40,0.51,ID,1674217204
172,yunyang,33.4474,112.7142,3.66,32,100,0.86,CN,1674217248
173,bathsheba,13.2167,-59.5167,26.34,69,40,10.8,BB,1674217248
174,pestravka,52.405,49.9583,-12.1,91,6,2.43,RU,1674217249
175,virtsu,58.5716,23.5115,1.7,85,100,1.69,EE,1674217249
176,baruun-urt,46.6806,113.2792,-21.66,91,97,2.79,MN,1674217129
177,sarankhola,22.3082,89.7897,20.77,26,14,2.54,BD,1674216981
178,sao joao da barra,-21.6403,-41.0511,27.05,82,99,3.35,BR,1674217250
179,nelson bay,-32.7167,152.15,21.11,76,97,4.02,AU,1674217250
180,road town,18.4167,-64.6167,26.02,73,40,3.09,VG,1674217251
181,lorengau,-2.0226,147.2712,27.5,76,100,3.1,PG,1674217252
182,ancud,-41.8697,-73.8203,14.65,90,99,1.39,CL,1674217252
183,haverfordwest,51.8017,-4.9691,5.32,89,100,2.89,GB,1674217038
184,vardo,70.3705,31.1107,-4.01,80,0,10.29,NO,1674217253
185,sembe,1.6481,14.5806,37.96,22,89,0.71,CG,1674217254
186,eureka,40.8021,-124.1637,3.65,99,59,2.45,US,1674217254
187,cascais,38.6979,-9.4215,17.51,85,75,7.6,PT,1674217254
188,zhigalovo,54.8097,105.1578,-26.74,99,100,1.3,RU,1674217254
189,meulaboh,4.1363,96.1285,26.07,78,90,1.43,ID,1674217255
190,konevo,62.1215,39.3192,0.07,99,100,1.29,RU,1674217255
191,gat,31.61,34.7642,22.66,36,0,1.12,IL,1674217255
192,brownsville,25.9018,-97.4975,20.51,87,75,2.57,US,1674217255
193,olinda,-8.0089,-34.8553,28.85,65,40,3.09,BR,1674217256
194,makakilo city,21.3469,-158.0858,22.88,86,0,2.06,US,1674217256
195,burnie,-41.0667,145.9167,14.97,74,73,1.61,AU,1674217084
196,darhan,49.4867,105.9228,-19.65,100,100,1.19,MN,1674217256
197,gorontalo,0.5412,123.0595,24.46,93,100,1.45,ID,1674217257
198,waingapu,-9.6567,120.2641,26.17,85,100,2.39,ID,1674216971
199,saint-doulchard,47.1037,2.352,3.69,84,57,3.87,FR,1674217257
200,alofi,-19.0595,-169.9187,24.94,94,75,1.54,NU,1674217258
201,faya,18.3851,42.4509,19.29,49,1,4.39,SA,1674217258
202,nuuk,64.1835,-51.7216,-14.66,72,20,3.6,GL,1674217258
203,feijo,-8.1642,-70.3536,20.92,99,100,2.32,BR,1674217258
204,iqaluit,63.7506,-68.5145,-20.15,77,100,1.54,CA,1674217022
205,leningradskiy,69.3833,178.4167,-32.22,94,100,6.96,RU,1674217259
206,dali,25.7,100.1833,7.7,48,2,2.32,CN,1674217259
207,ishigaki,24.3448,124.1572,19.07,68,75,7.72,JP,1674217215
208,mareeba,-17.0,145.4333,23.4,86,93,0.95,AU,1674217259
209,souillac,-20.5167,57.5167,27.21,83,75,5.14,MU,1674217260
210,deyang,31.1302,104.382,6.42,56,74,2.47,CN,1674217260
211,sochi,43.6,39.7303,15.05,57,48,1.29,RU,1674216967
212,moranbah,-22.0016,148.0466,23.67,79,59,8.16,AU,1674217260
213,pagudpud,18.5616,120.7868,23.29,84,100,8.77,PH,1674217261
214,cabo san lucas,22.8909,-109.9124,18.06,72,94,2.04,MX,1674217261
215,margate,51.3813,1.3862,6.06,76,16,4.02,GB,1674217262
216,avarua,-21.2078,-159.775,24.03,94,75,4.63,CK,1674217262
217,havelock,34.8791,-76.9013,13.97,71,98,3.13,US,1674217262
218,rodrigues alves,-7.738,-72.6509,22.11,100,100,0.24,BR,1674217262
219,dukat,62.55,155.55,-35.95,98,100,2.41,RU,1674217262
220,ewa beach,21.3156,-158.0072,23.66,86,0,2.06,US,1674217263
221,mahebourg,-20.4081,57.7,27.16,83,75,5.14,MU,1674217263
222,lima,-12.0432,-77.0282,21.06,86,75,4.63,PE,1674217144
223,cherskiy,68.75,161.3,-35.68,98,58,4.37,RU,1674217263
224,tiksi,71.6872,128.8694,-33.12,100,66,1.51,RU,1674217263
225,sainte-maxime,43.3,6.6333,11.21,32,61,5.83,FR,1674217264
226,uri,34.0833,74.0333,4.55,99,100,1.23,IN,1674217031
227,el roble,9.1019,-75.1951,23.13,89,25,1.57,CO,1674217265
228,port lincoln,-34.7333,135.8667,17.14,70,100,7.46,AU,1674217020
229,yenagoa,4.9247,6.2642,38.66,28,84,0.45,NG,1674217262
230,moreira sales,-24.0622,-53.0069,23.48,81,17,2.52,BR,1674217265
231,sinnamary,5.3833,-52.95,24.83,88,39,3.6,GF,1674217265
232,peto,20.1333,-88.9167,21.54,100,54,1.04,MX,1674217266
233,cockburn town,21.4612,-71.1419,24.95,73,23,6.91,TC,1674217266
234,carauari,-4.8828,-66.8958,21.23,100,100,0.49,BR,1674217267
235,skoghall,59.3232,13.4655,0.31,93,100,3.09,SE,1674217267
236,zhigansk,66.7697,123.3711,-47.73,99,55,0.55,RU,1674217267
237,kieta,-6.2167,155.6333,26.66,83,97,0.79,PG,1674217267
238,mar del plata,-38.0023,-57.5575,24.9,89,75,7.15,AR,1674217268
239,haines junction,60.7522,-137.5108,-6.93,98,100,1.67,CA,1674217268
240,songjianghe,42.1859,127.479,-21.59,96,67,1.34,CN,1674217268
241,okha,53.5739,142.9478,-28.93,98,74,6.72,RU,1674217269
242,isangel,-19.55,169.2667,25.0,77,80,2.42,VU,1674217269
243,mango,27.9797,-82.3065,21.26,88,100,2.06,US,1674217104
244,solnechnyy,50.7214,136.6319,-28.09,98,100,0.93,RU,1674217270
245,araguaina,-7.1911,-48.2072,24.82,79,99,1.23,BR,1674217270
246,poum,-20.2333,164.0167,26.06,87,100,11.87,NC,1674217271
247,bambanglipuro,-7.95,110.2833,25.82,83,95,0.89,ID,1674217271
248,dembi dolo,8.5333,34.8,24.78,30,51,3.7,ET,1674217043
249,byron bay,-28.65,153.6167,21.21,65,77,6.19,AU,1674217260
250,nador,35.174,-2.9287,17.14,63,75,9.26,MA,1674217272
251,thompson,55.7435,-97.8558,-13.91,92,100,2.06,CA,1674217272
252,banjarmasin,-3.3244,114.591,26.08,86,100,1.4,ID,1674216552
253,taoudenni,22.6783,-3.9836,24.12,16,0,5.91,ML,1674217274
254,dunedin,-45.8742,170.5036,13.22,61,37,5.81,NZ,1674217274
255,itarema,-2.9248,-39.9167,27.63,68,97,3.88,BR,1674217274
256,wuwei,37.9281,102.6414,-5.01,25,5,1.57,CN,1674217157
257,kaoma,-14.7833,24.8,19.6,95,100,2.31,ZM,1674217274
258,kavaratti,10.5669,72.642,26.85,67,14,2.22,IN,1674217274
259,sao jose da coroa grande,-8.8978,-35.1478,26.97,73,42,3.8,BR,1674217104
260,andilamena,-17.0167,48.5833,21.16,88,99,3.02,MG,1674217127
261,kilindoni,-7.9139,39.6668,28.04,76,97,7.62,TZ,1674217220
262,chokurdakh,70.6333,147.9167,-40.07,100,88,1.84,RU,1674217275
263,leninskoye,41.7589,69.3864,-7.81,85,1,1.32,KZ,1674217276
